log(chl);log(rrs443);log(rrs490);log(rrs510);log(rrs560);DOY
0.482158695;-2.775414369;-2.804895253;-2.791867274;-2.902936795;103
0.802089258;-2.999033035;-2.934175387;-2.883549666;-2.888819176;100
-0.663540266;-2.377579866;-2.381585681;-2.450494523;-2.643155113;209
-0.185086819;-1.992209776;-1.986267534;-2.031670389;-2.203479645;230
-0.48148606;-2.36093855;-2.423061646;-2.513627053;-2.761144554;206
0.264345507;-2.565338339;-2.583618316;-2.643016881;-2.841512063;135
-0.387746094;-2.753918434;-2.704496015;-2.671932671;-2.758943872;144
-0.186585823;-1.837830312;-1.828137576;-1.869626214;-2.03130892;246
-0.298000525;-1.851616306;-1.821190044;-1.863634717;-2.015065361;247
0.279438788;-2.571995676;-2.579834421;-2.581810612;-2.675540981;127
-1.173925197;-2.807148313;-2.712162677;-2.689104559;-2.830510724;145
0.428539731;-2.474484336;-2.403080986;-2.389694549;-2.426227533;234
0.032014034;-2.809101008;-2.715889296;-2.706403895;-2.79727335;271
0.509672865;-2.540765274;-2.680588272;-2.656180154;-2.807336946;103
-1.15490196;-2.333425584;-2.368652943;-2.443070276;-2.674832158;200
0.102090526;-2.55772708;-2.696244905;-2.728160251;-2.806191926;141
0.304705898;-3.019186096;-2.908837257;-2.86381296;-2.911596681;98
-0.169732199;-2.53024409;-2.530543534;-2.550836135;-2.701456278;160
-0.279014256;-2.357998908;-2.432771599;-2.529687141;-2.836122451;104
0.493458051;-2.253763853;-2.323666867;-2.365291638;-2.502597173;184
-0.124649303;-2.14067439;-2.202799375;-2.27645994;-2.490151089;247
-0.097811759;-2.315967817;-2.365775924;-2.463933068;-2.698568468;186
-0.517841305;-2.54889977;-2.589808574;-2.654204532;-2.912298068;93
-0.153972325;-2.421303384;-2.468758477;-2.548846899;-2.772479902;96
-0.537108086;-2.65009975;-2.674356899;-2.702352398;-2.859169655;247
0.224274014;-2.588823736;-2.649697504;-2.654283871;-2.800816032;106
0.095866453;-2.267745719;-2.231554526;-2.248659914;-2.346578689;241
-0.460296761;-2.205607537;-2.259050462;-2.356375614;-2.61808064;169
0.384980296;-2.683351678;-2.623421401;-2.607042197;-2.66482102;159
-0.404503778;-2.406639821;-2.422765061;-2.477951376;-2.679179937;229
-0.079094396;-1.772200883;-1.727034747;-1.748124552;-1.854348802;228
-0.631713115;-2.343196475;-2.413721312;-2.507968888;-2.822820028;103
0.124178055;-2.606934844;-2.506776517;-2.459642241;-2.455851681;196
-0.576754126;-2.473601399;-2.546763786;-2.633510176;-2.950249905;94
-0.119901296;-2.520399643;-2.493640163;-2.525177459;-2.659448217;243
-0.142366015;-1.563449588;-1.528266106;-1.560885519;-1.698286594;237
0.455606113;-2.417847627;-2.530077151;-2.517187136;-2.668424117;106
-0.067272633;-2.426233791;-2.407284874;-2.445122874;-2.574602252;231
0.536242707;-2.762374337;-2.701067274;-2.716124616;-2.830174265;236
0.86332286;-3.105242666;-3.076042418;-2.993322211;-2.794759627;184
0.16181704;-3.15460178;-3.065264771;-3.035496177;-3.09213201;136
-0.634980257;-2.264329096;-2.363865099;-2.482257947;-2.797984106;113
-0.674689628;-2.252540026;-2.279602355;-2.359756347;-2.602540935;216
-0.670994214;-2.416924275;-2.447469028;-2.49888553;-2.690002966;182
0.230448921;-3.376355888;-3.474022786;-3.340933262;-3.1313109;213
0.624127332;-2.889412646;-2.925950832;-2.908516997;-2.968661432;101
-0.59744632;-2.356010808;-2.437837681;-2.546636245;-2.817235656;210
-0.08380934;-2.440807737;-2.471384841;-2.54144781;-2.788285048;186
0.265596023;-2.866305285;-2.848324688;-2.8173058;-2.870345549;108
-0.317854924;-2.659571353;-2.574103529;-2.562893114;-2.611113904;231
-0.812197361;-2.233326506;-2.240564848;-2.297719683;-2.459113934;201
-0.476904162;-2.313832951;-2.4039498;-2.531956634;-2.849127866;255
-0.508638306;-2.320535762;-2.340676251;-2.404394888;-2.620814179;174
-0.454074671;-1.867944342;-1.897392988;-2.001612659;-2.252882587;185
-0.348237553;-1.986128279;-1.948754259;-1.987876997;-2.1147136;233
